Измерение частоты частотометром Ч3-57;
частота генератора, Гц; измеренное значение, Гц
700;690
800;801
900;890
1000;1003
1200;1140
1400;1349
1600;1558
6000;5912
20000;19579
50000;48370
;
Измерение длительности импульса частотометром Ч3-57;
длительность импульса генератора, мкс; измеренное значение, мкс
40;40
50;50
60;60
100;94
200;194
300;278
500;502
600;607
700;692
1000;932
;
Измерение частоты частотометром Ч3-64;
частота генератора, Гц; измеренное значение, Гц
300; 280,2
400; 386,1
500; 490,2
600; 594,0
700; 694,4
800; 806,2
900; 902,6
1000;1006
5000;4952
;
Измерение длительности импульса частотометром Ч3-64;
длительность импульса генератора, мкс; измеренное значение, мкс
30; 29,69
40; 39,83
50; 49,30
60; 58,92
70; 67,94
80; 75,71
90; 83,12
300; 310,2
400; 412,3
500; 510,3
600; 603,9
700; 701,6
800; 772,3
900; 843,2
